dropoff_ntaname,count
Midtown-Times Square,293355
Midtown South-Flatiron-Union Square,186935
Upper East Side-Carnegie Hill,182054
Chelsea-Hudson Yards,154738
East Midtown-Turtle Bay,130831
Murray Hill-Kips Bay,114862
Upper West Side (Central),110702
Upper West Side-Lincoln Square,100259
Upper East Side-Lenox Hill-Roosevelt Island,99644
Hell's Kitchen,94427
West Village,94252
East Village,86296
Greenwich Village,80824
SoHo-Little Italy-Hudson Square,78494
Upper East Side-Yorkville,73934
Financial District-Battery Park City,63504
Gramercy,60710
Tribeca-Civic Center,48616
Lower East Side,34847
Central Park,33158
Upper West Side-Manhattan Valley,25703
East Harlem (South),22884
Morningside Heights,15263
East Harlem (North),13879
Harlem (South),12189
Chinatown-Two Bridges,11189
Stuyvesant Town-Peter Cooper Village,11043
Harlem (North),5964
Hamilton Heights-Sugar Hill,3699
Randall's Island,3164
Manhattanville-West Harlem,2910
Washington Heights (South),2741
The Battery-Governors Island-Ellis Island-Liberty Island,1392
Washington Heights (North),1372
United Nations,1303
Inwood,269
Highbridge Park,41
Inwood Hill Park,35
Kingsbridge-Marble Hill,27
